芙芙		1	89	29	2	93.55%
模拟器		2	63	19	6	76.00%
牢活		3	51	11	18	37.93%
李火旺		4	45	9	18	33.33%
狗子		5	28	8	4	66.67%
风光	▲1	6	22	6	4	60.00%
招财猫	▼1	7	19	5	4	55.56%
小铭		8	15	2	9	18.18%
生生不息		9	11	3	2	60.00%
鸡米花		10	10	2	4	33.33%
白蛇		11	9	2	3	40.00%
车到山前必有路		11	9	2	3	40.00%
本木		13	8	1	5	16.67%
天虎		13	8	0	8	0.00%
齐黑瞎		15	7	2	1	66.67%
尘楠		16	5	1	2	33.33%
秋霜		17	4	1	1	50.00%
PUBG		17	4	1	1	50.00%
南泽		17	4	1	1	50.00%
孟婆汤		17	4	1	1	50.00%
只为琳一人		21	2	0	2	0.00%
韩一墨		21	2	0	2	0.00%
南淮		23	1	0	1	0.00%
天狼		23	1	0	1	0.00%
夏齐		23	1	0	1	0.00%
天猪		23	1	0	1	0.00%
晓城		23	1	0	1	0.00%
