招财猫		1	35	4	15	80.00%	16	1	6	2	19	3	6	1
狗子		2	31	4	15	53.33%	14	1	4	4	17	3	4	3
李火旺		3	28	3	14	57.14%	13	1	4	3	15	2	4	3
夏齐		4	24	1	16	37.50%	13	1	3	5	11	0	3	5
南泽	▲	5	22	1	13	53.85%	20	1	6	6	2	0	1	0
天虎	▼	6	21	0	15	40.00%	11	0	3	5	10	0	3	4
本木	▼	7	19	1	12	41.67%	13	1	3	5	6	0	2	2
芙芙		8	18	0	14	28.57%	6	0	1	4	12	0	3	6
六姐		9	11	0	7	57.14%	6	0	2	2	5	0	2	1
云义		10	9	0	6	50.00%	5	0	1	3	4	0	2	0
南淮		11	7	0	5	40.00%	1	0	0	1	6	0	2	2
天猫	▲	12	4	1	1	100.00%	0	1	1	0	0	0	0	0
清风	▼	13	3	0	2	50.00%	3	0	1	1	0	0	0	0
棺材板	▼	13	3	0	2	50.00%	1	0	0	1	2	0	1	0
天羊	▼	13	3	0	2	50.00%	1	0	0	1	2	0	1	0
小铭	▲	16	2	0	1	100.00%	0	0	1	0	0	0	0	0
美食家	▼	16	2	0	2	0.00%	1	0	0	1	1	0	0	1
染柒	▲	18	1	0	1	0.00%	0	0	0	0	1	0	0	1
